frame,component,offset,sigma,q_1_00,q_0_99,q_0_98,q_0_97,q_0_96,q_0_95,q_0_90,q_0_80,q_0_50
0004,PRight,1,0,0.11162248998880386,0.0335151555389166,0.02241868510842325,0.017013457361608746,0.014908427372574806,0.013304656697437123,0.009994605369865897,0.007563654985278847,0.004456621594727039
0004,PRight,1,1,0.04892687499523163,0.027380380332469943,0.022240204103291035,0.018036287724971775,0.014755390286445626,0.01234573232941327,0.008151601254940034,0.006573962140828372,0.00495601468719542
0004,PRight,1,2,0.030915217474102974,0.023156854491680864,0.019998325146734715,0.016964640729129316,0.014679247066378598,0.012662294134497598,0.008139692619442942,0.006347871944308281,0.005157687934115529
0004,PRight,1,3,0.02431948110461235,0.019839063361287122,0.01795966137200594,0.01585090670734644,0.01409116256982088,0.012718977779149999,0.008693209197372199,0.006295863725244999,0.005254832794889808
0004,PRight,2,0,0.10491777956485748,0.029358722865581523,0.01857448555529118,0.014356952933594593,0.011821368932724,0.010518335085362134,0.007807011110708118,0.005592250172048809,0.0034109968692064285
0004,PRight,2,1,0.04835619404911995,0.02246603714302183,0.01861886218190193,0.015091435192152858,0.012559616528451452,0.01026974297128617,0.006466978136450058,0.005033529177308082,0.0037473727716133
0004,PRight,2,2,0.029574744403362274,0.019087123423814776,0.01653588578104973,0.014165667537599803,0.012041718885302545,0.010405803890898804,0.006460719276219608,0.004928700998425485,0.0038894402096047997
0004,PRight,2,3,0.021122224628925323,0.016493774112313987,0.014797497242689134,0.01314394417218864,0.01172829296439886,0.010536310821771616,0.007023595040664082,0.0049068544059991835,0.003962697461247444
0004,PRight,3,0,0.10491777956485748,0.02466448048129678,0.016068777926266195,0.012224425477907062,0.010250016115605831,0.009064593119546766,0.006539009604603053,0.004686609469354157,0.0028502109926193953
0004,PRight,3,1,0.04692048579454422,0.019441727586090564,0.01580457445234061,0.013075893949717284,0.010926088169217115,0.008969872165471291,0.005518676806241276,0.004173540230840446,0.0031189682194963098
0004,PRight,3,2,0.027580706402659416,0.016569175925105813,0.014306116625666622,0.012281316695734859,0.01026631772518158,0.009063794137910003,0.005540898162871599,0.00413323063403368,0.0032242616871371865
0004,PRight,3,3,0.018999014049768448,0.014526321236044169,0.012763021159917117,0.011388208158314228,0.010014409087598325,0.009011645475402473,0.006074578268453486,0.004127318225800991,0.003277810988947749
0009,PRight,1,0,0.22096601128578186,0.06311980873346329,0.043117763698101046,0.03223283857107164,0.02635460838675499,0.02309982413426041,0.015778920426964764,0.010943670757114887,0.005659822374582291
0009,PRight,1,1,0.1556822657585144,0.050386091582477095,0.037917977795004845,0.030266890004277236,0.0264130021631718,0.0232420061714947,0.01489315740764142,0.009317732043564321,0.006212803302332759
0009,PRight,1,2,0.10596755892038345,0.044457617178559304,0.035098204985260964,0.0289394099265337,0.025653348416090016,0.023471113014966214,0.014855231996625662,0.009296785108745098,0.006255186162889004
0009,PRight,1,3,0.08104369044303894,0.0401322427019477,0.03375191770493984,0.027891050372272734,0.024664941877126704,0.02298535946756601,0.014921879954636097,0.009600312449038032,0.006286856019869447
0009,PRight,2,0,0.2095032036304474,0.04726414624601603,0.031101270057261012,0.024430562611669312,0.020458989813923842,0.01781946737319231,0.011965125799179077,0.007226886786520483,0.003974838647991419
0009,PRight,2,1,0.147633358836174,0.03819439824670554,0.027557296827435494,0.022631873209029443,0.019913590997457528,0.017829123325645905,0.011425932589918381,0.006459415052086117,0.004353182855993509
0009,PRight,2,2,0.09664610028266907,0.03267177145928145,0.026128978990018367,0.02193051645532251,0.019254162386059762,0.017660406883805983,0.011543895117938524,0.006246555503457789,0.004469007486477494
